Experience Name,Description,Intended Age Range (years old),Content Difficulty (1-3),Topics,GS Assistance,"GS Priority/
Popularity",Average Visitor Duration,Copy,More Copy
Sensor Challenge,Guests compete to see if they can sort golf balls more effectively than a computer. Balls roll down a hill and guests have to activate the correct door based on color.,All Ages,3,"AI, technology, reaction time, sorting, competition, Rockwell Automation",Float,2,3 - 5 mins,"Can You Beat The Machine?
Take the Sensor Challenge!
1. Press the Start Button
2. Choose a Speed Slow, Medium, or Fast
3. Press Go
4. Sort!",
Tic-Tac-Toe,Automated game where guests can play Tic-Tac-Toe against a robotic A.I.,All Ages,1,"video games, AI, technology, board games, competition, Rockwell Automation",Float,3,3 - 5 mins,*No substantial copy,
Build It!,"Informational experience that highlights the scale of machines required for construction projects, specifically large-scale ones.",10 - 16,,,No,,,"Build It!
Make the biggest machines.
Build It!
Build machines that move the Earth. It takes highly-skilled machinists, welders, and technicians to put it all together.
Casting
Metal is poured into giant molds to form the pieces of these massive earth movers. Casting allows Bucyrus to be innovative and save time and materials without sacrificing strength or quality.
Machining
The enormous pieces are then milled, ground, and cut with mind-boggling precision. Bucyrus Machining Equipment is some of the biggest and most precise in the world.
Welding
The process of fusing two or more pieces of metal together to form something new. It involves lots of current, high heat, and incredible amounts of precision and skill.
Big Machines Need Big Welds
The biggest machines need to be incredibly strong to move millions of tons of rock and minerals. Welding provides the strength that bolts and rivets cannot. To keep the bucket, boom, and crawlers from failing and breaking, every piece is welded together.",
Excavator,"Model excavator that allows guests to visualize the scale by letting them control a small camera, at the same height as a model human, within the enclosure.",6 - 16,,,No,,,"Walking Dragline Excavator
These beasts walk the Earth, clearing away millions and millions of tons of rock. They never sleep. They never stop.",
Fern Fossil in Shale,Tactile experience that allows users to feel a real fossil containing a fern encased in shale. ,6 +,,,No,,,"Fern Fossils in Shale
Shale is a sedimentary rock that forms as silt and mud sink to the bottom of marshes, river deltas, and lakes. Time and pressure turn the mud into rock. Shale often forms the ""cap"" or roof of a coal seam. Black shale contains a lot of carbon, and forms when there is little or no oxygen in the mud. Organisms die and sink to the bottom. Layers of mud slowly settle on them. Time and pressure turn them fossils. These fern fossils are from the Pottsville Formation in the coal region of the Appalachian Mountains in Pennsylvania. They date back to the middle of the Pennsylvanian age (about 350-290 million years ago).",
Power Plants,Informational experience that shows how coal forms over time and explains energy transfer.,,,,No,,,"‘Power Plants’
Coal Deposits - The Remains of Earth’s Ancient Fossils
Coal is… Carbon, Hydrogen, Oxygen, Sulfur
How Coal is Made
The Sun Lights and Heats the Earth. Plants Transform Solar Energy into Growth. When Plants Die, They Form Peat. Time, Pressure, and Heat Turn Plants into Coal. The Peat is Compressed in Sediment Layers to Form Lignite. Further Compression Forms Bituminous and Subbituminous Coal. The Older the Coal, the More Energy it Holds. Eventually, Anthracite Forms. We Turn Coal into Civilization. 
Stored Solar Energy
Each kilogram of coal contains 6.67 kW-h (kilowatt-hours) of energy. A kilogram of coal could power a 60-watt light bulb for 167 hours*.
*assuming a 100% efficiency rate; realistically a kilogram of coal would power a 60-watt lightbulb for about 50 hours.",
Welds,Informational experience that highlights different pieces of equipment required for welding and fun facts about welding. ,8 +,,,No,,,"Welds
Big Welds Need Big Skill
Welding these big machines together is an art and a science. The welds must be straight, sound, and strong. Certified welders work with metal compositions (the filler material to fuse the thick, heavy pieces together. See the bevels, or angled grooves, on the joints? These allow welders to completely fill the joint area between the materials and to get a 100% sound weld. The welder makes the first pass, carefully guiding the molten metal into the joint. Plate thickness and the stress and strain to be put on the part determine if more welds are needed. The welds are actually stronger than the metal that the welder has fused together. After the welds cool, they are X-rayed for quality acceptance.
Tig Welding. Stick Welding. Mig Welding. Gas Welding. 
Did You Know?
The world's first industrial robot was made to spot weld. It was an industrial motorized arm weighing a staggering two tons.
Welding Helmet
The dark-tinted lens shade and helmet protect the welder from flash burns and “arc eye,” a painful eye _____ caused by the UV rays given off during welding.
Welding Gloves
Welders choose their gloves according to which technique they're using. Gloves are made from different kinds of animal hides and provide various levels of finger dexterity. They protect the welder from flames and electric shock.
Work Boots
Steel toe protects the welder from dropped equipment.
Welding Sleeves
Provides light protection against the flames and sparks while keeping the welder cool.
Welding Jacket
Protects the welder from heat, UV radiation, spatter, and sparks. 
Work Pants
Many welders prefer 100% cotton pants, like jeans, because they’re flame resistant and breathable. 
Welding Apron
Thick leather protects the welder from slag, flying sparks, and metal spatter.
","Sparks Fly!
Welding produces very bright light, sparks, and extreme heat. Welders use several types of personal protective equipment (PPE) to stay safe. A welding helmet and safety glasses protect your eyes from sparks and UV radiation. Welding helmets have a dark lens to filter out bright light and to allow you to see the weld clearly. Welding gloves and a welding jacket protect your hands and body from heat, sparks, and slag. Slag is a by-product formed by the impurities in a metal that come out when heating metal to really high temperatures. The gloves are made of durable leather or Kevlar, and the jacket is made of a durable, flame-resistant material like cotton or wool.
Did You Know?
More than 50% of all human-made products require welding."
Block Party,"Open ended play area where early-learning guests are provided with large, blue foam blocks to build whatever they desire. Design challenges are available to provide inspiration.",2 - 8,1,"imagination, construction, engineering, architecture, early learning, city, Milwaukee, building",Float,1,10 - 20 mins,*Copy is short and scattered; existing copy is already easily understandable,
Drive Sim,Driving simulator where users can sit at a steering wheel controller and drive the car of their choice for two laps.,All Ages,2,"simulator, cars, video games, engines, physics",Yes,1,3 - 8 mins,"Turning
Racecars are designed to handle the effects of friction, gravity, and air resistance.
Gaining Speed
Aerodynamics is how easily air slips over the car. Traction is the grip that tires have on the ground, transferring engine power into forward motion and keeping the car on the racetrack.
Special Maneuvers
When an object is moving in a circle, centripetal force pulls it towards the center, while centrifugal force pulls it away.
Crashing
Modern racecars are designed to protect the driver using impact-absorbing materials, high-tech multi-point seatbelts, and breakaway pieces.",
Battery Video,Short video highlighting the benefits of lithium-ion batteries.,8 - 14,2,"building automation, batteries, ",No,5,1 - 2 mins,"Lithium-Ion Batteries
Light. Energy Dense. No ""Memory"". Lithium-ion batteries charge quickly and drain slowly making them ideal for tablets, smartphones, and electric vehicles.",
"Dampers, Valves, & Actuators","Model of dampers, valves, and actuators on a small scale to show their practical purpose.",10 - 18,3,"building automation, HVAC",No,5,1 min,"Dampers, Valves, & Actuators
A damper is a plate that pivots open to allow warm or cool air into a room. It closes when the roam becomes too warm or too cool. Dampers are controlled by thermostats and moved by actuators. An actuator is a device that turns the energy of compressed air into a linear motion. They are connected to dampers by a series of linkages.
Johnson's Pneumatic System
When the thermostat reaches a set temperature, it sends a signal to an electropneumatic valve to turn the air pressure either on or off.
Air Pressure ON
A rubber diaphragm on the actuator inflates, which pushes on the linkages and opens the damper.
Air Pressure OFF
The rubber diaphragm deflates, the linkages relax, and the damper closes.",
Metasys,Information about and demonstration of Johnson Controls' Metasys Home Automation systems.,8 - 16,3,"building automation, HVAC",No,5,1 min,"Metasys
One Brain to Rule them All
Human beings are pretty complicated. We have lots of systems. Circulatory, nervous, muscular, skeletal, digestive, respiratory, immune, and a few others. Each system depends on the others, and your body needs them all to work well in order for you to work well. Imagine if each of your systems had its own ""brain"" and those ""brains"" couldn't communicate with each other.
That would be a problem. Fortunately, all your systems are run by one complex, beautiful brain. Buildings are complicated, too, and they rely on many different systems. Heating, ventilation and air-conditioning (HVAC) systems, lighting, security, fire protection. These systems have different controls and are made by different companies. Until recently, this meant lots of different ""brains"" that couldn't really interact. Metasys® is a complex, beautiful brain for buildings. Metasys® allows you to control all of a building's systems. It works with older systems and even systems from other manufacturers. It works online. It works on tablets and smartphones. Warren Johnson built a system that allowed you to control your environment. That was revolutionary back in the 19th Century. Today you trust Johnson Controls to deliver heating and cooling, giving you piece of mind. Today you rely on Johnson Controls to ensure your place of work or school is safe, secure, and comfortable environment. ",
Mini Wimshurst,"Mini version of the Wimshurst machine, an electrostatic generator.",8 - 16,3,"history, generator, energy, building automation",No,4,> 1 min,"Wimshurst Static Machine
While Johnson was experimenting with compressed air, other innovators were exploring the possibilities of electricity.
A Shock, a Spark
The Wimshurst Machine consists of two insulated discs that rotate in opposite directions. The discs separate positive and negative charges, which are collected by metal combs and stored in Leyden Jars (capacitors). As the Wimshurst Machine rotates, the charges build and build until there is enough voltage for an electric spark to jump across the gap. Press the button. Wait 20 seconds to try again.",
Pneumatic Dinosaur,Popular exhibit where guests can control the limbs and body position of a metal dinosaur using pneumatics. ,All Ages,2,"fluid dynamics, dinosaurs",No,2,1 - 3 mins,"Pneumatic Dinosaur
Once upon a time, in a land before time, pneumatic dinosaurs roamed the land. As these giants strode upon the earth and swam in the primordial seas, levers forced compressed air into their mighty pistons transforming this force into movement. These gigantic creatures are gone (except for this one, the last of its kind), but their inspiration remains in pneumatic drills and bicycle pumps, HVAC control systems, giant pneumatic clocks, compressed air vehicles, pipe organs, exercise equipment, and anywhere else humans turn compressed air into work. 
Move the Levers. Control the Mighty Beast. Behold the Power of Compressed Air.",
Robotic Bug,3D printed bug whose limbs are controlled by robotics.,All Ages,2,"robotics, bugs, 3D printer, automation",No,4,1 min,"Robotic Bug
This robotic bug uses servos to mimic the walking motion of our six-legged, exoskeletoned friends.",
Servo Hand,3D printed human hand whose fingers are user controlled by robotics.,All Ages,2,"robotics, 3D printer, automation",No,4,1 min,"Artificial Hand
This artificial hand uses servos to mimic the intricate articulations of the human hand. Servos provide lightweight power & control. Each part of this hand was made here at Discovery World on a 3-D printer.",
Spark Gap Telegraph,"Telegraph that highlights the spark gap, an invention that was instrumental to the development of the product. ",8 - 16,2,"telegraph, history, morse code, communication, engineering",No,3,> 1 min,"Wireless Telegraph
In the late 1800s, the telegraph was the only way to send an instant message to someone. The telegraph transformed the world and made communication much easier across distances. The problem was wires. You can't run wires from the shore to a ship, and ships were incredibly important to the global economy. People needed instant communication everywhere, and they needed to get rid of the wires. Warren Johnson's initial transmitter set-up consisted of a battery, a capacitor, an induction coil, and a spark gap. When you complete the circuit, the induction coil transforms low-voltage electricity from the battery into a high-voltage impulse, which jumps across the gap. This generates a pulse of radio waves that flies off in every direction. A coherer (radio-wave receiver) located somewhere else picks up this pulse of radio waves as a burst of static. A short burst of static became a Morse Code dot. A longer burst became a dash. Eventually, Johnson and his engineer Charles Fortier demonstrated their wireless telegraph system at the 1900 Paris Exposition with luminaries like Nikola Tesla, Guglielmo Marconi, and Thomas Edison.",
Telegraph with Key,Telegraph with an accompanying morse code key where users are encouraged to spell out different words in morse code. ,8 - 16,2,"telegraph, history, morse code, communication, engineering",No,3,> 1 min,"Morse Code
It's 1836. Your name is Samuel Morse. You're a portrait painter and inventor originally from Charlestown, Massachusetts. Your job is to figure out a way to send instant messages across the country. You have a transmitter that allows you to send electrical impulses. You have a receiver that receives electrical impulses. You have electricity. You have wire. What do you do?
I Could Create a Code!
You could create a code. Each letter might be combination of short and long bursts of electricity. Dots and dashes (and empty space). Tiny bits of empty space between letters. Longer bits of empty space between words. You want your code to be as efficient as possible, so you assign the shortest series of dots and dashes to the letters we use most frequently. 'E' would be a single dot. 'T' would be a dash. ‘I' would be two dots. 'M' would be two dashes. And so on. Congratulations. You've invented Morse Code.",
Thermostat,Model thermostat that shows an early model of the invention.,8 - 18,2,"building automation, weather, history, HVAC",No,5,> 1 min,"Origin of the Thermostat
Let's go back in time. 130 years should do it. Nice time machine, by the way. It's the late 1800s in Whitewater, Wisconsin. You're a professor. Your classroom is freezing. Your students are shivering in their coats and sweaters. Suddenly, a janitor opens the door and pops his head in, disrupting your class. He takes a look at the thermometer on the wall and pops out. The janitor runs down to the basement and turns on the boiler. Hot air starts surging through the vents. Your students start tearing off their coats and sweaters in an attempt to get comfortable. Now they're disrupting the class. Your classroom is never comfortable. Interruptions plague your lecture. How are you supposed to teach? How are your students supposed to learn? You get frustrated. If you're Warren Johnson, you turn that frustration into a brand new innovation called the thermostat.",
Ding Dong,Device that Les Paul invented to test the magnetic quality of guitar strings. ,12 +,3,"Les Paul, guitars, inventions, physics, history, music",No,5,> 1 min,"Ding Dong
Nicknamed, ""The Ding Dong"", Les built it to test the magnetic quality of strings, which strings produced the most voltage, and what sound quality he could expect from plucking strings high versus low, etc. He quickly realized the benefit of this method. While other record producers and recording artists relied on electronic mixers to balance and engineer the sound, he was engaged in sound manipulation on the most basic levels. Les reveled in the subtleties.",
Hometown Tour,Interactive digital map that lets the user select various locations in Waukesha and see how they related to Les Paul's life. ,All Ages,1,"Les Paul, history, Wisconsin, map, music",No,3,2 - 5 mins,"Take The Tour
Join Sue Baker, The Program Director at the Les Paul Foundation on a tour of Les Paul's Home Town, Waukesha, WI. See where Les lived, learned, performed and invented.",
How Many Discs?,"500 vinyl records stacked on top one another to show a visual on how many discs Les Paul had to go through when recording his song ""Lover.""",All Ages,2,"Les Paul, history, invention, music",No,3,> 1 min,"How Many Discs Does it Take to Create a New Sound?
Five hundred, give or take a tew. Computers have made it easy to record multiple tracks, overdub, and add effects. But the combination of these effects had never been done before Les Paul released ""Lover"" in 1948. He called his effects ""The New Sound."" It was a huge hit.
It was a complicated process. If he didn't like a particular take, he couldn't record over it. He had to start over with another disc.",
Les & Leo,"Visual experience that shows a 1951 Telecaster, the first solid-body electric guitar that Les Paul was heavily involved in the invention of. Guests can read about the friendly rivalry between Les Paul and Leo Fender.  ",8 - 18,2,"Les Paul, Leo Fender, Gibson, Fender, guitar, electric-guitar, history, rivalry, invention, music",No,5,,"Les & Leo
Gibson vs. Fender is one of music history's most iconic rivalries, yet Leo Fender and Les Paul shared a surprising friendship. Leo, a passionate electronics tinkerer who didn’t actually play guitar, started with a radio repair studio where he made his name selling musical equipment like public address systems, amplifiers, and Hawaiian guitars. He would often visit Les Paul's garage studio in L.A. where they discussed electronics and solid-body electric guitars. Leo created his first electric guitar prototype based off these visits and offered it to Les, inviting him to join Fender, but Les chose to stay with Gibson. The Telecaster, available in 1951, was the world’s first mass-produced and commercially successful solid-body electric guitar. Initially mocked for resembling a boat paddle, musicians soon discovered that Fender had provided them with a great-sounding, easily playable, and affordable instrument. It quickly became one of the most influential sounds of the 20th century, shaping the evolution of Rock 'n' Roll, R&B, and Country music. Seeing the success of Fender's Telecaster, Gibson got back in contact with Les Paul to create their own electric guitar. Les, who had figured out much of the invention in the decade earlier, said, “Fender was out first but I was way, way, way out front,” allowing for the quick release of the Gibson Les Paul in 1952. Les acknowledged Leo Fender's impact, stating, ""Leo did me a favor. I couldn't move Gibson with an atomic bomb. It took Leo Fender to wake Gibson up."" This rivalry spurred innovation, shaping their distinct guitar sounds.",
Les' First Invention,Users can view the first ever neck-mounted harmonica holder with a small blurb of accompanying text. ,All Ages,1,"Les Paul, history, invention, harmonica, music",No,5,,"Les' First Invention
Flip-able harmonica holder
Harmonica holders were available in the 1920s, but they held the harmonica in one position. When he was around 13 years old, Les was playing his guitar and harmonica in public. He wanted to be able to play both sides of his harmonica in order to change keys without putting his guitar down, so he invented a flip-able harmonica holder from metal coat hangers and a piece of wood. His design has evolved into a readily available product.",
Meeting Mary Ford,Small copy-based experience that highlights the origins of Les Paul and Mary Ford's relationship.,12 - 18,1,"Les Paul, Mary Ford, music, history",No,5,,"Meeting Mary Ford
Iris Colleen Summers was Mary Ford's birth name. She was one of seven musical siblings whose father was a revival preacher. In 1944, Colleen was backing country singers as part of the Sunshine Girls trio. At the same time, Les Paul was living in Hollywood and looking for a female singer for his country music radio show. A friend suggested he listen to the Sunshine Girls. Les was impressed and called Colleen to audition. Colleen's friends knew she was a huge Les Paul fan. Surely one of her friends was pulling a prank. But she agreed to the audition. When the evening for the audition came, Les forgot about the meeting. He was mowing his lawn in a checkered shirt, baggy army pants and his old army boots. He hadn't even shaved. Colleen pulled up, ""Can you tell me where the Les Paul studios are?"" She followed Les' directions to the garage recording studio. The only way in was to climb through a window. Quite a bit later when Les crawled through the window, Colleen exclaimed, ""That's not Les Paul! That's the gardener!"" As she scrambled for the exit, Les picked up his guitar and let go with a fast run. Colleen stopped, ""Oh my, you are Les Paul."" For the radio show Colleen was ""Mary Lou."" Later, while the two were in Wisconsin, Les decided Colleen needed a new stage name. He picked up a Milwaukee phone book. They settled on ""Mary Ford.""",
Persistence,"Informational copy based experience where guests can learn about the times when Les was faced with hardship in his career, but still persisted through.",12 +,1,"Les Paul, history, Gibson, reading-heavy, music",No,5,,"Persistence
Focusing on the Future
When Les was 32, he and Mary Skidded off an icy bridge and down a ravine. Mary wasn’t badly hurt, but Les was a mess of broken bones. One doctor advised amputating Les’ shattered right arm, but Dr. Robert Knight - a fan - saved it. The best option was the fix the arm in place. Les had the surgeon set it so he’d still be able to play. During recovery, Les focused on his future. “The doctors said there was potential nerve damage, that I shouldn’t count on regaining full use of the hand, but I wasn’t buying it. I was determined it was going to come back and that I would play again.”
Meeting Bing
Bing Crosby’s weekly NBC radio show was the top show in America, and a 29-year-old Les Paul wanted to be on it. He didn’t know Bing, but left New York determined to meet him in Hollywood. After becoming a staff musician at NBC, Les noticed Bing’s habit of going into a tiny room for a few minutes of quiet before the show. One day, Les had his trio in that room rehearsing a hot number when Bing walked in. Bing hired all of them on the spot. “Being associated with Bing was a major step up.”
Persuading Gibson
As a young man of 26, Les went to Gibson with his solid body electric guitar, nicknamed ""the Log."" Despite its sweet tone and lack of feedback, Gibson turned it down, calling it a ""broomstick with pickups on it."" Les spent the next 10 years trying to convince Gibson to build a solid body electric guitar. Les' friend Leo Fender developed a solid body electric and gave Les a prototype. Les took the Fender Telecaster to Gibson, along with ""the Log."" ""I believe the solid body guitar is going to be very important, and if you don't do something, Fender is going to rule the world."" Les finally persuaded Gibson to design what became one of the most famous guitars in the world, the Les Paul Standard.",
Rail Guitar,One of the prototypes that would lead Les Paul to invent the solid-body electric guitar.,All Ages,1,,No,4,,"Rail Guitar
""This was the direction I was craving to go. I didn't know it yet, but I was on my way to the solid body electric guitar."" Les Paul began experimenting with electrifying his guitar when he was in his early teens. He connected a radio as an amplifier to his acoustic guitar, but he wanted to hear just the strings vibrate and he wanted the strings to vibrate longer. ""Using a short length of steel railroad rail and two railroad spikes, I invented a device that could give me a consistent reference point for my experiments. I took a guitar string and fastened it at each end of the steel rail, using the spikes like a bridge and nut to raise the string so it could be plucked. Then I took a telephone microphone, wired it into Mom's radio for amplification, and placed it on the rail under the string. I soon figured out that the tremendous solidity of the rail allowed the string's vibration to sustain for a longer time, and there was no feedback."" -Excerpted from Les Paul: In His Own Words",
Reactable,Interactive music themed exhibit where guests can adjust the position and orientation of various blocks to modularly make a song. ,,1,,No,1,,,
Seeing Sound,Interactive experience that allows users to play different frequency sound through a tube and observe as the contents of the tube shaped to the sound wave being played. ,,2,,No,2,,"Seeing Sound
How would you measure the speed of sound?
In 1886, August Kundt generated a single frequency of sound - a pure tone inside a tube. Dust inside the tube began to vibrate and dance, forming the outline of the soundwave. Kundt then figured out that the distance between the dancing piles of dust is the wavelength of the sound wave. Since he knew the frequency of the sound wave, he could multiply that number by the wavelength and find the speed of sound in air. ",
